text,summary
ئةو كچة رزاي زور قورسة,ئەو کچە ڕەزای زۆر قوڕسە
جاخؤدوتؤپةلى تئ گرن باشترة,جا خۆ دوو تۆپەڵەی تێگرن باشترە
روى باوكى ئه وه ره شبيت (ته مارا)ى كرد به بيشكه شكار,ڕووی باوکی ئەوە ڕەش بێت (تەمارا) ی کردە پێشکەشکار.
له پيرلؤ خوئيريتر تؤيت,لە پێڕلۆ خوێڕیتر تۆیت.
تخوا ئةمة شتة سةيري دةكةن,تخوا ئەمە شتە سەیری دەکەن
لة داخي دواني وا حةزةكةم ئةم ولاتة جئ بيلم,لەداخی دووانی وا، حەز ئەکەم ئەم وڵاتە جێبێلم
ئينشةلا كوراكاو دهبةنةوة,ئینشائەڵڵا کوڕەکان دەبەنەوە
ام كجه بيويسته ببريته نه خؤشخانه ى ده رونى,ئەم کچە پێویستە ببرێتە نەخۆشخانەی دەروونی
ئه ى بو ئاسايشى هه وليئر دزه گه وره كان ده ستگير نا كريئن.,ئەی بۆ ئاساییشی هەولێر دزەگەورەکان دەزگیر ناکەن؟
هةر ماعدة مابوو تداخلى بكةن,هەر ماعیدە مابوو تەداخولی بکەن
به خواتابليي به رنامه يه كي هيجه جاجلوبه ركي ناشيرين,بەخوا تابڵێی بەرنامەیەکی هیچە، جا جلوبەرگی ناشرین
وةالله شتةكم لة دةست بواية ريك كةنالةكةم دادةخست,وەڵڵا شتەکم لەدەست بوایە ڕێک کەناڵەکەم دادەخست.
توخوا اوة بةرنامةية,تخوا ئەوە بەرنامەیە؟
تةنانةت ليرةش غةدرتان لة كةركوك كرد عةمرتان نةمينى,تەنانەت لێرەش غەدرتان لە کەرکوک کرد، عەمرتان نەمینێ.
بروا  بكةن ئةمن بةس تةماشاي ريكارم كرد,بڕوا بکەن ئەمن بەس تەماشای ڕێکارم کرد
ئةمة فیلبو  حكم تاوانبارة جونكة كوتی نابی كةس قةسةبةكات,ئەمە فێڵ بوو عەکەم تاوانبارە، چونکە وتی نابێ کەس قسە بکات.
داناش وةك يارا بةس فشةفش دةكات هيجيش ناباتةوة,داناش وەک یارا بەس فشەفش دەکات، هیچیش ناباتەوە
خواية شوكرم بةبةشت لةباتى باران  فيتنة دةبري,خودایە شوکرم بە بەشت، لەجیاتیی باران ، فیتنە دەبارێ
گةردةلول بةخيوي كردوم بيمنتةتم لة رةشةبا,گەردەلول بەخێوی کردووم، بێمنەتتم لە ڕەشەبا.
اليي شيره به مه ييه كه يه دارماسيحه,ئەلێی شیرە پەمەیەکەیە، دارماسیحە
زؤر ركم لة پيشكةشكارةكةية اسلوبيى قسةى زؤر ناشرينة,زۆر ڕقم لەپێشکەشکارەکەیە، ئسلوبی قسەکردنی زۆر ناشرینە
بيكه نينه كه شي له هى به شه ر ناجى,پێکەنینەکەشی لە هیی بەشەر ناچێت
جاوةرة ئةوكفتةي بخؤي بةونينؤكةوة,جا وەرە ئەو کفتەی بخۆی بەو نینۆکەوە
امه له مه ريخ ده زي,ئەمە لەمەریخ دەژی
نرخي بۆ خۆمان جەندە,نرخی بۆ خۆمان چەندە؟
خواي بتكات قورباني كجيكي عه شاير,خودا بتکات بە قوربانی کچێکی عەشایەر
خوت فيره قسه بكه اوجا به رنامه ى پيشكه ش بكه,خۆت فێرە قسە بکە، ئەوجا بەرنامە پێشکەش بکە
كورةتووخواتؤشةرم لةخؤت ناكةي,کورە تخوا تۆ شەرم لە خۆت ناکەی؟
دروبوو اوقسه يه,درۆ بوو ئەو قسەیە
ئه مه يه كم جارمه به بينم دعبا كوراني بلى كه ناشرينه,ئەمە یەکەم جارمە ببینم دەعبا گۆرانی بڵێ، کە ناشرینە!
وةره خو نةكوشژة لةبةرئةم ريكلامه,وەرە خۆت مەکوژە لەبەر ئەم ڕیکلامە
کە ناڵێ بێ رە وشتە کان,کەناڵی بێڕەوشتەکان.
برؤ كن بروا ستايلي بابلؤكت بكا,بڕۆ کن بڕوا ستایلی با بلۆکت بکات
عةزةلات فشةيه شةرتي جاو و بروويە,عەزەلات فشەیە، شەرتی چاو و برۆیە
ام ريكلام بيتامه ش تواو نابي,ئەم ڕیکلامە بێتامەش تەواو نابێ
دةستان خوش بيت هةر سةركةوتو بن,دەستتان خۆش بێت، هەر سەرکەوتوو بن
وةلا عةينةن راستية امن بروام كرد,وەڵڵا ئەڵێی ڕاستییە، ئەمن بڕوام کرد.
بوية كورد هةموي لةناو جوو كةسي تةندروست نماية,بۆیە کورد هەمووی لەناو چوو، کەسی تەندروست نەمایە
باشترين راهينه ر له ميزووي توبي بي,باشترین ڕاهێنەر لە مێژووی تۆپی پێ
ژن دوژمني ژنه له به رچي ژن قه بول ناكت پياو ژنيكي دي بينت,ژن دوژمنی ژنە، ژەبەرچی ژن قەبول ناکات پیاو ژنێکی تر بێنێت؟
چاڤي به ميسي وتوه تؤله ي  ئيمه له ريال بكه وه,چاڤی بە مێسی وتوە: تۆڵەی ئێمە لە ڕیاڵ بکەوە
هةموو روز دةموو جاو ئةم شتة ناشرينة ئةبيني, هەموو ڕۆژێ دەموو چاو ئەم شتە ناشرینە ئەبینی
نيشانةي ژني خراپة,نیشانەی ژنی خراپە
ده رئن اوه ي او كفتانه خاري له طه واريه,دەرێن ئەوەی ئەو کفتانەی خوارد لە تەوارییە
شكلئ اوئ ديكه ي ده ت,شکڵی ئەوەی دیکە دەدات
وةرزي تر من ارؤم من ببينن لة وي,وەرزێکی تر من ئەڕۆم، من ببینن لەوێ
چه تاليشي پيه چاوه ري شوتي كاله كي بؤببه ن,چەتاڵیشی پێیە، چاوەڕێیە شووتی و کاڵەکی بۆ ببەن
زورناخوشة دةني,زۆر ناخۆشە دەنگی
كةواتة سى ريمةكة باتوشى گوناحنةبى,کەواتە سەیری مەکە باتوشی گوناح نەبیت
دانا بةو زةعيفيةي خوى باشتره له تو,دانا بەو زەعیفییەی خۆی باشترە لە تو
وه لله كجه كي قشتؤكه يه بي ده كري خؤشم ده وي من زور,وەڵڵا کچەکی قشتۆکەیە، پێی دەکرێ، خۆشم دەوێ من زۆر
بةراستي بةرنامةكة ئةمجارة زوور جياوازة و جوانه,بەڕاستی بەرنامەکە ئەم جارە زۆر جیاوازە و جوانە
سيناريوه فيشه ك ته قاندن ئاو هايه,سیناریۆیە، فیشەکتەقاندن ئەوهایە؟
وةلا ئةوة هةمووي كوري فةقيرة شتيكي زؤر خراب اكةن,وەڵڵا ئەوە هەمووی کوڕی فەقیرە، شتێکی زۆر خراپ ئەکەن
سودي أيوه جيه لؤ ميلت,سوودی ئێوە چییە بۆ میللەت؟
